"Category","Assessor parcel number","Building classification","Year built","Acres","Building sq.ft."
"CEQA Review","City of Barstow General Plan Update & Barstow International Gateway (BIG) Specific Plan","https://ceqanet.lci.ca.gov/2024020501","2030","2887","69172000"
"Approved","World Logistics Center Project EIR PEN18-0050","https://ceqanet.opr.ca.gov/2012021045/6","2027","2650","63479000"
"CEQA Review","Westside Annexation and North Lancaster Industrial Specific Plan","https://ceqanet.opr.ca.gov/2024081372/2","2030","1891","45307000"
"CEQA Review","2022 Legacy Highlands Specific Plan Project","https://ceqanet.opr.ca.gov/2022080120","2030","1386","33196000"
"CEQA Review","Stoneridge Commerce Center","https://ceqanet.opr.ca.gov/2020040325/5","2030","606","14518000"
"CEQA Review","San Jacinto Commerce Center","https://ceqanet.opr.ca.gov/2024040114","2030","504","12077000"
"Approved","Adelanto Industrial Park. (LDP 24-04)","https://ceqanet.opr.ca.gov/2008071129/5","2027","470","11265000"
"Approved","Speedway Commerce Center II Specific Plan EIR","https://ceqanet.opr.ca.gov/2021120259/3","2027","464","11116000"
"CEQA Review","Sunset Crossroads Project","https://ceqanet.opr.ca.gov/2021020011/3","2030","449","10768000"
"CEQA Review","Serrano Commerce Center","https://ceqanet.opr.ca.gov/2006081015/5","2030","392","9396000"
"Approved","Antelope Valley Commerce Center","https://ceqanet.opr.ca.gov/2022090009/2","2027","392","9381000"
"Approved","Globemaster Corridor Specific Plan (GCSP) Project","https://ceqanet.opr.ca.gov/2018091021/4","2027","390","9335000"
"CEQA Review","Beaumont Heights Business Centre Project","https://ceqanet.opr.ca.gov/2024050220","2030","386","9244000"
"Approved","Beaumont Pointe Specific Plan","https://ceqanet.opr.ca.gov/2020099007/3","2027","370","8875000"
"CEQA Review","New Perris Commerce Center Specific Plan Project","https://ceqanet.opr.ca.gov/2024071090","2030","368","8808000"
"Approved","West Valley Logistics Center (WVLC)","https://ceqanet.lci.ca.gov/2012071058/4","2027","292","7002000"
"CEQA Review","Harvest Landing Retail Center & Business Park Project","https://ceqanet.opr.ca.gov/2024080337/2","2030","288","6895000"
"CEQA Review","CV Commerce Center","https://ceqanet.opr.ca.gov/2024080800","2030","279","6677000"
"Approved","Menifee Valley Specific Plan","https://ceqanet.opr.ca.gov/2022030233","2027","258","6180000"
"Approved","Apple Valley 143","https://ceqanet.opr.ca.gov/2022070019/3","2027","241","5781000"
"Existing","056712103","storage building","2023","240","5741000"
"Approved","South Ontario Logistics Center Specific Plan (PSP19-001 and PGPA19-004)","https://ceqanet.opr.ca.gov/2021010318/7","2027","238","5698000"
"CEQA Review","Mesa Verde Specific Plan Area 2 Amendment 2","https://ceqanet.opr.ca.gov/2004071045/5","2030","226","5422000"
"Existing","046323158","distribution warehouse","2003","225","5401000"
"CEQA Review","Lake Creek Logistics Center","https://ceqanet.opr.ca.gov/2024020235","2030","223","5339000"
"Approved","The Ontario Plan 2050 Supplemental Environmental Impact Report","https://ceqanet.lci.ca.gov/2021070364/5","2027","218","5219000"
"Existing","580-766-02","warehouse","2017","202","4849000"
"Approved","Hesperia Commerce Center II","https://ceqanet.opr.ca.gov/2019110418/4","2027","192","4596000"
"CEQA Review","The Oasis at Indio","https://ceqanet.opr.ca.gov/2024050578/2","2030","184","4420000"
"Approved","Bloomington Business Park Specific Plan","https://ceqanet.opr.ca.gov/2020120545/9","2027","181","4340000"
"Approved","Inland Empire North Logistics Center Apple Valley Project","https://ceqanet.opr.ca.gov/2023090366/3","2027","180","4307000"
"Approved","South Perris Industrial","https://ceqanet.lci.ca.gov/2008071060/2","2027","176","4221000"
"Approved","Freeway Corridor Specific Plan Final Subsequent Environmental Impact Report","https://ceqanet.opr.ca.gov/2006041096/8","2027","173","4151000"
"Approved","Highway 74 Community Plan","https://ceqanet.opr.ca.gov/2019059042/3","2027","172","4122000"
"Approved","Cordova Complex and Quarry at Pawnee Warehouse Project","https://ceqanet.opr.ca.gov/2023090009/2","2027","169","4039000"
"CEQA Review","Renaissance Ranch Draft EIR","https://ceqanet.opr.ca.gov/2021030301/2","2030","161","3851000"
"Existing","013634172","","2007","154","3688000"
"CEQA Review","Rich-Haven Specific Plan, 2022 Amendment Project (File No. PSPA22-001)","https://ceqanet.opr.ca.gov/2022100425/3","2030","154","3678000"
"CEQA Review","Palmdale Logistics Center - TPM 84077 - CUP 23-003 - SPR 23-001","https://ceqanet.opr.ca.gov/2023090551/5","2027","153","3665000"
"Existing","049202124","storage warehouse","2016","151","3617000"
"Approved","Adelanto Industrial Center  LDP No 23-06","https://ceqanet.opr.ca.gov/2023120352/2","2027","139","3326000"
"CEQA Review","Irwindale Brew Yard Specific Plan","https://ceqanet.opr.ca.gov/2024020415","2030","137","3279000"
"Existing","407220029","warehouse/mega","2022","136","3253000"
"Approved","Rio Vista Specific Plan","https://ceqanet.opr.ca.gov/2018121005/3","2027","131","3137000"
"Existing","294170015","warehouse/mega","2021","128","3062000"
"CEQA Review","Newland Simpson Road Project","https://ceqanet.opr.ca.gov/2023120462/2","2030","126","3028000"
"Approved","Antelope Valley Logistics Center - West Project","https://ceqanet.opr.ca.gov/2024050012","2027","118","2835000"
"CEQA Review","Potrero Logistics Center","https://ceqanet.opr.ca.gov/2020059016/3","2030","115","2747000"
"Approved","Banning Commerce Center","https://ceqanet.opr.ca.gov/2022090102/2","2027","114","2740000"
"Existing","046323161","distribution warehouse","2018","106","2551000"
"Approved","DHS 109 Project","https://ceqanet.opr.ca.gov/2021050334","2027","106","2533000"
"Approved","General Plan Amendment GP-04-002, Zone Change 04-002 and Specific Plan Amendment SP-04-002 for Summerwind Ranch at Oak Valley","https://ceqanet.lci.ca.gov/2004061035/8","2027","104","2498000"
"Approved","I-15 Industrial Park Project","https://ceqanet.opr.ca.gov/2021060397/3","2027","101","2427000"
"Existing","125-140-19","warehouse","1986","100","2390000"
"Approved","Majestic Chino Heritage","https://ceqanet.opr.ca.gov/2019039133/3","2027","98","2357000"
"Existing","SBD_AmazonAirHub","aviation warehouse","2020","97","2326000"
"Approved","Ontario International Airport South Airport Cargo Center Project","https://ceqanet.opr.ca.gov/2021100226/2","2027","96","2304000"
"Existing","666370039","light industrial","2024","94","2248000"
"Existing","023812175","distribution warehouse","1996","93","2239000"
"CEQA Review","Perris Airport Logistics Center","https://ceqanet.opr.ca.gov/2023100540","2030","92","2214000"
"CEQA Review","First Hathaway Logistics Project","https://ceqanet.opr.ca.gov/2022040441/3","2030","92","2193000"
"Existing","312250043","warehouse/dry storage","2004","91","2178000"
"Approved","Euclid Mixed Use Specific Plan","https://ceqanet.opr.ca.gov/2023020281","2027","88","2100000"
"Existing","407220028","warehouse/mega","2022","85","2042000"
"Existing","3114011029","Warehousing, Distribution, Storage","1999","85","2037000"
"Existing","302050035","warehouse/dry storage","1980","83","1995000"
"CEQA Review","Oak Valley North","https://ceqanet.opr.ca.gov/2022120265/3","2030","83","1979000"
"Existing","488350052","warehouse/dry storage","2011","82","1975000"
"Approved","West Gate Specific Plan","https://ceqanet.lci.ca.gov/1995052002/5","2027","82","1957000"
"Approved","Majestic Thousand Palms","https://ceqanet.opr.ca.gov/2022110600/3","2027","82","1954000"
"CEQA Review","Lime Avenue Annexation & Quarry Commerce Center","https://ceqanet.opr.ca.gov/2024121001","2030","81","1931000"
"CEQA Review","United States Cold Storage Hesperia Project","https://ceqanet.opr.ca.gov/2020069036/3","2030","80","1925000"
"Existing","303040001","warehouse/dry storage","2004","80","1924000"
"Approved","The Park @ Live Oak Specific Plan","https://ceqanet.opr.ca.gov/2018041001/2","2027","80","1915000"
"Existing","303110001","warehouse/dry storage","1980","80","1911000"
"Approved","Rubidoux Commerce Park","https://ceqanet.opr.ca.gov/2020110449/4","2027","80","1911000"
"CEQA Review","Arrow Commerce Center","https://ceqanet.opr.ca.gov/2023110033","2030","80","1908000"
"Existing","302080033","warehouse/dry storage","2021","80","1907000"
"Existing","053013106","improvements ass'd associated apn","2024","79","1894000"
"Approved","The Development at Dale Evans and Lafayette","https://ceqanet.opr.ca.gov/2022120356/2","2027","79","1886000"
"Existing","424010011","light industrial","2022","78","1881000"
"Existing","294670004","light industrial","2020","78","1877000"
"Approved","Palmdale Logistics Park","https://ceqanet.opr.ca.gov/2022080668/2","2027","78","1874000"
"Approved","Site Plan Review No. 23-012","https://ceqanet.opr.ca.gov/2023120722","2027","77","1843000"
"Approved","Mojave Industrial Park Project","https://ceqanet.opr.ca.gov/2023110478/3","2027","76","1826000"
"Existing","8082003010","Warehousing, Distribution, Storage","1980","76","1822000"
"Approved","Menifee Commerce Center Project","https://ceqanet.opr.ca.gov/2021060247/4","2027","76","1817000"
"Existing","105439102","distribution warehouse","2021","76","1814000"
"CEQA Review","NOP for Electrical Vehicle Charging Station and Logistics Facility","https://ceqanet.opr.ca.gov/2024050651","2030","75","1795000"
"Existing","591-061-08","warehouse","1980","75","1791000"
"Existing","045821201","storage hangar","2005","75","1787000"
"Existing","111015101","distribution warehouse","1990","74","1770000"
"Existing","303030019","warehouse/dry storage","2000","74","1767000"
"Existing","156080031","ct-light industrial","1998","74","1762000"
"Approved","The District at South Bay Specific Plan Amendment","https://ceqanet.opr.ca.gov/2005051059/13","2027","73","1753000"
"Approved","Palomino Business Park Project","https://ceqanet.opr.ca.gov/2019039132/4","2027","72","1729000"
"Existing","316020046","light industrial","2014","72","1726000"
"Approved","Site Plan Review No. 21-15","https://ceqanet.opr.ca.gov/2022090652","2027","72","1723000"
"Existing","045904141","distribution warehouse","2022","71","1713000"
"Existing","316211028","warehouse/dry storage","2018","71","1707000"
"CEQA Review","Pacific Palmdale","https://ceqanet.opr.ca.gov/2025020362","2030","71","1702000"
"Existing","021126319","transit warehouse (truck terminal)","1992","70","1681000"
"Existing","102610102","","2015","70","1668000"
"Approved","The District at Jurupa Valley Specific Plan","https://ceqanet.opr.ca.gov/2022040044/2","2027","70","1667000"
"Existing","102610103","distribution warehouse","2015","68","1639000"
"Approved","1M Warehouse","https://ceqanet.opr.ca.gov/2023020285/2","2027","68","1639000"
"CEQA Review","Etiwanda Commerce Center","https://ceqanet.opr.ca.gov/2023110038","2030","68","1629000"
"Existing","7351003013","Warehousing, Distribution, Storage","1998","67","1613000"
"Approved","Green River Ranch Specific Plan Amendment and Industrial Business Park Project & Relocation of Proposed Constrained Linkage 1","https://ceqanet.opr.ca.gov/2022080640/3","2027","67","1609000"
"Existing","2826004043","Warehousing, Distribution, Storage","1980","67","1595000"
"Approved","South Campus Specific Plan and Village West Drive Extension Project","https://ceqanet.opr.ca.gov/2020059028/3","2027","66","1591000"
"Existing","156150072","warehouse/mega","2024","66","1580000"
"Existing","424010021","warehouse/mega","2021","66","1579000"
"Approved","Mojave 68 Project","https://ceqanet.opr.ca.gov/2023030145/2","2027","66","1577000"
"CEQA Review","Baker Street Warehouse Project","https://ceqanet.opr.ca.gov/2024070504","2030","66","1575000"
"CEQA Review","Speedway Commerce Center Specific Plan","https://ceqanet.opr.ca.gov/2022040481/2","2030","65","1569000"
"CEQA Review","Perris Valley Towne Center","https://ceqanet.opr.ca.gov/2024020911","2030","65","1554000"
"Existing","025918141","distribution warehouse","2020","64","1544000"
"Existing","648050012","light industrial","1980","64","1538000"
"Existing","532110017","warehouse/mega","2021","64","1533000"
"Approved","Sierra Business Center","https://ceqanet.opr.ca.gov/2022030544/2","2027","63","1519000"
"Existing","156150070","light industrial","2011","63","1505000"
"Existing","316100060","warehouse/mega","2019","63","1504000"
"Existing","156030029","light industrial","1980","63","1501000"
"Approved","Majestic Freeway Business Center Phase II","https://ceqanet.opr.ca.gov/2022080060/2","2027","62","1491000"
"CEQA Review","Hemet Logistics West Project","https://ceqanet.opr.ca.gov/2024051197","2030","62","1483000"
"Existing","107311124","distribution warehouse","2021","62","1480000"
"Existing","021121315","storage warehouse","1992","61","1459000"
"Existing","034815125","transit warehouse (truck terminal)","2007","61","1459000"
"CEQA Review","Mojave 51 Industrial Logistics Project","https://ceqanet.opr.ca.gov/2024070803","2030","61","1456000"
"Approved","Irwindale Gateway Specific Plan Draft EIR","https://ceqanet.opr.ca.gov/2023020290/2","2027","61","1456000"
"Existing","016757105","distribution warehouse","2007","60","1445000"
"Existing","303070016","warehouse/dry storage","2009","60","1438000"
"Existing","424050033","warehouse/mega","2018","60","1435000"
"Existing","303934116","distribution warehouse","2022","60","1431000"
"Existing","023808145","distribution warehouse","1980","59","1423000"
"Existing","294640034","ct-warehouse/cold storage","2019","59","1421000"
"Approved","Agua Mansa Logistics Center","https://ceqanet.lci.ca.gov/2013101080","2027","59","1416000"
"Existing","310170021","warehouse/mega","2023","58","1379000"
"Existing","312250046","warehouse/dry storage","2005","57","1375000"
"Existing","303090035","warehouse/dry storage","2018","57","1372000"
"Existing","024025155","distribution warehouse","2018","57","1364000"
"Existing","013634188","distribution warehouse","2002","56","1343000"
"Existing","029207155","distribution warehouse","2009","56","1333000"
"Existing","303050004","warehouse/mega","2022","55","1324000"
"Existing","310170016","warehouse/mega","2022","55","1315000"
"Existing","303943141","distribution warehouse","2022","55","1315000"
"Existing","029204149","distribution warehouse","2020","55","1311000"
"Existing","175200013","light industrial","2023","54","1299000"
"Existing","023802176","distribution warehouse","2010","54","1295000"
"Existing","107313101","distribution warehouse","2021","54","1290000"
"Existing","026002122","distribution warehouse","1999","54","1286000"
"Existing","045919310","","2024","53","1279000"
"CEQA Review","Meridian D-1 Gateway Aviation Center","https://ceqanet.opr.ca.gov/2021040012","2030","53","1274000"
"Existing","021821131","distribution warehouse","2021","53","1269000"
"Existing","297100084","warehouse/mega","2022","53","1260000"
"CEQA Review","Merwin Property Project","https://ceqanet.opr.ca.gov/2024020198","2030","53","1260000"
"Approved","Philadelphia Street Industrial Development Site and East End Annexation Project","https://ceqanet.opr.ca.gov/2023060736","2027","53","1258000"
"Existing","045919405","distribution warehouse","2007","52","1252000"
"Existing","024017132","distribution warehouse","2005","52","1240000"
"Existing","026002144","distribution warehouse","2003","52","1239000"
"CEQA Review","Sea Ranch Business Park Project","https://ceqanet.opr.ca.gov/2025050183/2","2030","52","1239000"
"Existing","297170087","light industrial","2007","51","1233000"
"Existing","016751129","flex","2015","51","1211000"
"Approved","Ottawa Business Center","https://ceqanet.opr.ca.gov/2021120205/2","2027","50","1200000"
"Existing","025918142","distribution warehouse","2020","50","1196000"
"Existing","013634184","distribution warehouse","2005","50","1187000"
"CEQA Review","9th and Vineyard Development Project","https://ceqanet.opr.ca.gov/2019110456/4","2030","49","1186000"
"Approved","Bridge Point Upland","https://ceqanet.opr.ca.gov/2019129066/2","2027","49","1179000"
"Existing","316211002","warehouse/mega","2018","49","1178000"
"Existing","488330040","ct-light industrial","2015","49","1177000"
"Existing","108335105","distribution warehouse","1998","49","1175000"
"CEQA Review","Cajalco Commerce Center","https://ceqanet.opr.ca.gov/2023060799/2","2030","49","1174000"
"Existing","024025150","distribution warehouse","2017","49","1171000"
"Existing","294110010","warehouse/dry storage","2017","48","1154000"
"Existing","013636136","distribution warehouse","2012","48","1148000"
"Existing","316020050","warehouse/dry storage","2016","48","1144000"
"Existing","263021003","warehouse/mega","2019","48","1141000"
"Existing","107311118","distribution warehouse","2020","48","1141000"
"Existing","016751109","distribution warehouse","2003","48","1140000"
"Existing","107315116","distribution warehouse","2021","48","1139000"
"Existing","022913131","distribution warehouse","2014","47","1138000"
"Existing","025217367","transit warehouse (truck terminal)","2001","47","1133000"
"Approved","Ramona Gateway Project","https://ceqanet.opr.ca.gov/2022040023/2","2027","47","1124000"
"Existing","302120024","warehouse/mega","2020","47","1123000"
"Existing","012815142","distribution warehouse","1998","47","1122000"
"Existing","417020076","warehouse/dry storage","2005","46","1112000"
"Existing","175170051","light industrial","2022","46","1112000"
"CEQA Review","Temescal Valley Commerce Center","https://ceqanet.opr.ca.gov/2023010612","2030","46","1112000"
"Existing","013637144","distribution warehouse","2022","46","1111000"
"Existing","175200017","light industrial","2023","46","1102000"
"Existing","294070025","ct-warehouse/dry storage","2013","45","1079000"
"Existing","022949101","distribution warehouse","2024","45","1077000"
"Existing","263020066","warehouse/dry storage","1980","45","1067000"
"Existing","263310015","ct-warehouse/dry storage","1994","44","1064000"
"Existing","160510007","warehouse/dry storage","1980","44","1061000"
"Existing","317100066","warehouse/mega","2022","44","1056000"
"Existing","156360017","light industrial","1995","44","1055000"
"CEQA Review","Heacock Commerce Center Project","https://ceqanet.opr.ca.gov/2021100129/2","2030","44","1053000"
"Existing","023907132","distribution warehouse","2024","44","1048000"
"Approved","Motte Business Center","https://ceqanet.opr.ca.gov/2022120083/3","2027","44","1048000"
"Existing","012815138","distribution warehouse","1990","44","1045000"
"Existing","294110011","light industrial","2018","44","1042000"
"CEQA Review","Heritage Valley Business Center","https://ceqanet.opr.ca.gov/2025051051","2030","43","1041000"
"CEQA Review","Santa Ana Truck Terminal Project","https://ceqanet.opr.ca.gov/2023120143/2","2030","43","1040000"
"Existing","156020052","warehouse/dry storage","2000","43","1030000"
"Existing","025507155","flex","2017","43","1029000"
"CEQA Review","DP 22-05","https://ceqanet.opr.ca.gov/2024100853","2030","43","1029000"
"Existing","302030012","warehouse/dry storage","2017","43","1025000"
"Existing","024025148","flex","2017","43","1023000"
"Existing","026013133","distribution warehouse","2007","43","1022000"
"Existing","456030047","light industrial","2024","43","1020000"
"Existing","023815213","cold storage facility","1991","43","1020000"
"Existing","045919402","distribution warehouse","2008","43","1020000"
"Existing","173180024","light industrial","1980","42","1016000"
"Existing","305020031","light industrial","2000","42","1013000"
"Existing","314160032","light industrial","2018","42","1007000"
"Existing","027613181","distribution warehouse","2001","42","1007000"
"Existing","727092026","ct-warehouse/cold storage","2005","42","1006000"
"Existing","156340042","warehouse/dry storage","1998","42","1006000"
"Existing","011031151","distribution warehouse","2016","42","1003000"
"Existing","276-091-08","warehouse","2001","42","1001000"
"Existing","648150029","light industrial","1986","42","999000"
"CEQA Review","OLC3 Ramona Expressway and Perris Boulevard Commercial Warehouse Project","https://ceqanet.opr.ca.gov/2024050104","2030","42","998000"
"Existing","021007246","distribution warehouse","2004","41","971000"
"Existing","044824106","improvements ass'd associated apn","2018","40","970000"
"Existing","111804105","distribution warehouse","2015","41","970000"
"CEQA Review","Locust Gateway Development Project","https://ceqanet.opr.ca.gov/2024061274","2030","40","966000"
"Existing","025803114","transit warehouse (truck terminal)","2023","40","962000"
"Existing","111804107","","2004","40","962000"
"Existing","309119113","distribution warehouse","2000","40","958000"
"Existing","023813226","light industrial","1985","40","951000"
"Existing","8541017049","Warehousing, Distribution, Storage","2017","40","951000"
"Existing","763320040","ct-warehouse/cold storage","1998","40","949000"
"Existing","026204240","distribution warehouse","2015","40","948000"
"Approved","Site Plan Case No. PLAN22-00014","https://ceqanet.opr.ca.gov/2022110212","2027","40","948000"
"Approved","Site Plan Review No. 21-09 (Fedex Distribution)","https://ceqanet.opr.ca.gov/2022050479","2027","40","947000"
"Existing","013637139","distribution warehouse","2013","39","943000"
"Existing","022937114","distribution warehouse","2005","39","941000"
"Existing","532130008","light industrial","2022","39","937000"
"Existing","8719007043","Warehousing, Distribution, Storage","2005","39","937000"
"Existing","424050018","warehouse/dry storage","1980","39","936000"
"Existing","022938105","flex","2002","39","934000"
"CEQA Review","Pepper 210 Commerce Center","https://ceqanet.opr.ca.gov/2023010089","2030","39","934000"
"Existing","309057120","distribution warehouse","2024","39","933000"
"Existing","046031232","light industrial","1988","39","932000"
"Existing","105632104","distribution warehouse","2014","39","924000"
"Existing","488330044","warehouse/mega","2018","39","923000"
"Approved","CADO Menifee Industrial Project","https://ceqanet.opr.ca.gov/2022040622/5","2027","39","923000"
"Existing","230260008","light industrial","1980","38","920000"
"Existing","2836006040","Warehousing, Distribution, Storage","1980","38","918000"
"Existing","022937120","distribution warehouse","2002","38","915000"
"Approved","Torrance Gateway (Phase III)","https://ceqanet.opr.ca.gov/2022010161","2027","38","912000"
"Existing","322-031-15","warehouse","1980","38","909000"
"Existing","108315105","distribution warehouse","1999","38","904000"
"Existing","026604182","distribution warehouse","2017","38","902000"
"Existing","3033010047","Warehousing, Distribution, Storage","2000","38","899000"
"CEQA Review","Site Plan Review No. 24-003, General Plan Amendment No. 24-001, Zone Change No. 24-001","https://ceqanet.opr.ca.gov/2025040920","2030","37","898000"
"Existing","111804108","","2004","37","897000"
"Approved","Rider and Patterson Business Center","https://ceqanet.opr.ca.gov/2022120110/2","2027","37","897000"
"Existing","314180030","warehouse/mega","2019","37","896000"
"Existing","330070015","light industrial","1986","37","896000"
"Existing","297100093","light industrial","1980","37","895000"
"Existing","025508156","distribution warehouse","2019","37","892000"
"Existing","156050022","warehouse/dry storage","2002","37","891000"
"Existing","303080019","warehouse/dry storage","2016","37","891000"
"Existing","029204417","distribution warehouse","2015","37","891000"
"Existing","111924124","distribution warehouse","2016","37","890000"
"Approved","Site Plan Review No. 23-004","https://ceqanet.opr.ca.gov/2023060708","2027","37","889000"
"Existing","105437105","distribution warehouse","2017","37","886000"
"Existing","016755108","distribution warehouse","2001","37","884000"
"Approved","Palm Springs Fulfillment Center","https://ceqanet.opr.ca.gov/2023080091/3","2027","37","884000"
"Existing","5593020025","Warehousing, Distribution, Storage","1980","37","879000"
"Approved","Hemlock Warehouse Development Project","https://ceqanet.opr.ca.gov/2009091089/8","2027","37","875000"
"Approved","Rancho 38 Industrial Project","https://ceqanet.opr.ca.gov/2023030264","2027","36","872000"
"Existing","026007218","distribution warehouse","2019","36","871000"
"Existing","316170027","warehouse/dry storage","2014","36","870000"
"Existing","024023138","distribution warehouse","2016","36","869000"
"Existing","023803131","flex","2004","36","864000"
"Existing","029207157","distribution warehouse","2013","36","863000"
"Existing","670040007","light industrial","1980","36","861000"
"Existing","263320013","ct-warehouse/dry storage","1994","36","860000"
"Existing","016314118","light industrial","2022","36","860000"
"Existing","026604180","distribution warehouse","2007","36","859000"
"Existing","023811147","distribution warehouse","2000","36","858000"
"Existing","019-111-79","warehouse","1980","36","858000"
"Existing","294100045","warehouse/mega","2021","36","857000"
"Existing","302070020","warehouse/dry storage","2012","36","857000"
"Existing","623-131-08","warehouse","1987","36","856000"
"Existing","257040024","warehouse/dry storage","2020","36","854000"
"Existing","011343109","flex","2002","36","854000"
"Existing","013654103","distribution warehouse","2004","36","853000"
"Existing","029205316","distribution warehouse","2015","36","853000"
"CEQA Review","Mapes Commerce Center Project","https://ceqanet.opr.ca.gov/2022080602","2030","36","853000"
"Existing","028143102","distribution warehouse","2015","35","849000"
"CEQA Review","McLaughlin and San Jacinto Warehouses Project; DEV2022-016, Plot Plan (PLN22-159), Tentative Parcel Map 38433 (PLN22-160)","https://ceqanet.opr.ca.gov/2023030044","2030","35","845000"
"Existing","026204239","distribution warehouse","2014","35","844000"
"Existing","316180013","light industrial","2012","35","838000"
"Existing","023205143","distribution warehouse","2016","35","836000"
"Existing","295310069","warehouse/dry storage","2019","35","834000"
"Existing","023808144","improvements ass'd associated apn","2021","35","834000"
"Existing","160040033","light industrial","2005","35","832000"
"Existing","023816179","distribution warehouse","1995","35","832000"
"Existing","314040038","warehouse/mega","2022","35","830000"
"Existing","026002115","distribution warehouse","2014","35","829000"
"Existing","029204210","distribution warehouse","2006","35","829000"
"Existing","025709136","distribution warehouse","2019","35","827000"
"Existing","014143124","","2018","34","819000"
"CEQA Review","Prologis Del Amo and Prairie Center Project","https://ceqanet.opr.ca.gov/2025040130","2030","34","817000"
"Existing","102040023","light industrial","1980","34","816000"
"Existing","156040066","warehouse/dry storage","2001","34","815000"
"Existing","023805244","distribution warehouse","2001","34","815000"
"Existing","2629001010","Warehousing, Distribution, Storage","2012","34","815000"
"Existing","160510006","warehouse/dry storage","2018","34","811000"
"Existing","023816148","flex","2014","34","811000"
"Existing","7412026016","Warehousing, Distribution, Storage","2001","34","808000"
"Existing","016754109","distribution warehouse","2012","34","803000"
"Existing","488350060","warehouse/mega","2021","33","802000"
"Existing","026013134","distribution warehouse","2007","33","797000"
"Existing","107313103","distribution warehouse","2020","33","794000"
"Existing","8218007015","Warehousing, Distribution, Storage","1980","33","794000"
"Existing","297100095","warehouse/mega","2020","33","793000"
"Existing","8059005046","Warehousing, Distribution, Storage","2005","33","792000"
"CEQA Review","Olive Avenue Development Project","https://ceqanet.opr.ca.gov/2020120036/3","2030","33","792000"
"Existing","023814414","distribution warehouse","1998","33","791000"
"Existing","8760029026","Warehousing, Distribution, Storage","1988","33","791000"
"Approved","LDP-22-13","https://ceqanet.opr.ca.gov/2022090643","2027","33","787000"
"Existing","330080036","light industrial","1995","33","786000"
"Existing","026011315","distribution warehouse","2006","33","786000"
"Existing","314170019","warehouse/mega","2018","33","785000"
"Existing","108335106","distribution warehouse","2000","33","785000"
"Existing","021126111","distribution warehouse","1998","33","782000"
"Existing","297110046","warehouse/mega","2019","32","779000"
"Approved","Ellis Logistics Center Project","https://ceqanet.opr.ca.gov/2023040144/3","2027","33","779000"
"Existing","8242030018","Warehousing, Distribution, Storage","1980","32","778000"
"Existing","012806329","flex","2006","32","777000"
"Existing","023806311","flex","2003","32","777000"
"Existing","011031150","distribution warehouse","2016","32","775000"
"Existing","8719007050","Warehousing, Distribution, Storage","2006","32","774000"
"Existing","025117257","distribution warehouse","2024","32","773000"
"Existing","8348022047","Warehousing, Distribution, Storage","1980","32","773000"
"Existing","312250059","light industrial","2018","32","769000"
"Existing","016755109","distribution warehouse","2006","32","769000"
"Existing","026201151","distribution warehouse","2008","32","769000"
"Existing","024024169","distribution warehouse","2017","32","768000"
"Existing","316100047","warehouse/dry storage","2006","32","764000"
"Existing","023810154","distribution warehouse","1980","32","764000"
"Existing","156050019","warehouse/dry storage","1998","32","761000"
"Existing","8002019043","Warehousing, Distribution, Storage","1980","32","759000"
"Existing","8719007042","Warehousing, Distribution, Storage","2005","32","759000"
"Existing","025506128","distribution warehouse","2006","32","758000"
"Existing","025506129","distribution warehouse","2006","32","758000"
"Existing","049719210","light industrial","1980","32","756000"
"Existing","105637108","distribution warehouse","2014","31","754000"
"Existing","040507250","distribution warehouse","1997","31","753000"
"Existing","016750111","flex","2005","31","752000"
"Existing","113318121","distribution warehouse","2016","31","748000"
"Existing","156340056","light industrial","2006","31","747000"
"Existing","021130112","distribution warehouse","2001","31","744000"
"Existing","909370045","light industrial","2009","31","741000"
"Existing","021128134","distribution warehouse","1999","31","740000"
"Existing","295310054","warehouse/dry storage","2013","31","739000"
"Existing","107313102","distribution warehouse","2020","31","739000"
"Approved","Sun Lakes Village Specific Plan Amendment No. 5","https://ceqanet.opr.ca.gov/2020029074/3","2027","31","738000"
"Existing","023806207","flex","2017","31","737000"
"Existing","105446105","distribution warehouse","2018","31","734000"
"Existing","417020077","light industrial","2013","31","732000"
"Approved","DJT4 Parcel Delivery Facility Project","https://ceqanet.opr.ca.gov/2023070241","2027","31","731000"
"Existing","302070031","light industrial","2020","30","728000"
"Approved","Site Plan Review No. 23-003","https://ceqanet.opr.ca.gov/2023060746","2027","30","728000"
"Existing","023816171","distribution warehouse","1991","30","727000"
"Existing","294180052","ct-warehouse/dry storage","1980","30","726000"
"Existing","263050085","ct-light industrial","1989","30","726000"
"Existing","021128159","flex","2008","30","726000"
"Existing","263060041","light industrial","2014","30","722000"
"Existing","156360042","ct-warehouse/dry storage","1996","30","721000"
"Existing","263050084","warehouse/dry storage","2017","30","721000"
"Existing","8168016042","Warehousing, Distribution, Storage","1980","30","720000"
"Existing","8264026803","Warehousing, Distribution, Storage","1980","30","715000"
"Approved","Orchard Logistics Center","https://ceqanet.opr.ca.gov/2022070351/2","2027","30","713000"
"Existing","024023135","light industrial","2016","30","712000"
"CEQA Review","Goodman Logistics Center Fontana Ill","https://ceqanet.opr.ca.gov/2019039071/3","2030","30","712000"
"Existing","317240055","warehouse/mega","2021","30","711000"
"Approved","Cherry Commerce Center","https://ceqanet.opr.ca.gov/2023070065/2","2027","30","708000"
